p,omega,rho,ord,ord2,ord4,f4
0.5,0.00457999025857436,0.5,0.7273677368164545,0.5292201690539011,0.280404619874071,0.4312985571289605
0.5,0.017738225997250678,0.5,0.06622468261718743,0.0049524254792928935,4.107338487475305e-05,0.14344189208983016
0.5,0.004000000000000001,0.5,0.7609487145996131,0.5791501673446207,0.3356630575643766,0.47957440063484086
0.5,0.0060044561863238305,0.5,0.6292660485839409,0.39635657124506335,0.15770155484460496,0.3156730834960449
0.5,0.023255158812664285,0.5,0.05867956054687458,0.0038549456417559403,2.422536815338906e-05,0.1410586108398442
0.5,0.03997031413879595,0.5,0.04963284179687344,0.002733203404247721,1.1810715606246784e-05,0.13714861083985663
0.5,0.005244077692159,0.5,0.6864870239257593,0.47147458329022823,0.2226843183139212,0.37884981445312005
0.5,0.01353010160301253,0.5,0.07489472167968564,0.006395853956938043,7.126565170062993e-05,0.1462188903808358
0.5,0.015491933384829673,0.5,0.07030231689452997,0.0055866712009907775,5.2417421555064385e-05,0.14473550537107335
0.5,0.010320290733482368,0.5,0.0895100830078072,0.009242332764565746,0.0001525193741101343,0.149638690185516
0.5,0.026627100205900502,0.5,0.055683056640625776,0.003464161200821286,1.9382752997565578e-05,0.1399566577148458
0.5,0.03490864554916128,0.5,0.0516087438964839,0.002955194416195101,1.375142292595222e-05,0.13810388061524337
0.5,0.0068750877103499145,0.5,0.5256142016602273,0.27821177370608724,0.07930470320397381,0.23248294677737935
0.5,0.007871958685061724,0.5,0.14188506713866994,0.024926468964964144,0.0013765461995813484,0.1572413818359121
0.5,0.009013373523370628,0.5,0.11045268554687146,0.014220200246273637,0.0003669965165736723,0.1527271020507484
0.5,0.020310225567949636,0.5,0.06163020629882954,0.004255646529048613,2.944807274114606e-05,0.14222214355467802
0.5,0.030487964889276898,0.5,0.05309229248046824,0.003133017519712327,1.5528338426995596e-05,0.138962855224617
0.5,0.01181670775625111,0.5,0.0850018395996059,0.008319370458573195,0.00012325919185262335,0.14792521972653416
0.5,0.04576591234696057,0.5,0.04805143310546711,0.00255275151878597,1.0082555403946874e-05,0.13631782104493684
0.52,0.004000000000000001,0.5,0.7352185192871661,0.5407009845284603,0.29269160660115556,0.438497419433656
0.5,0.05240185818096181,0.5,0.04625313354491996,0.0023613558901846975,8.60532022579396e-06,0.1355013342285324
0.52,0.015491933384829673,0.5,0.06551217407226552,0.004853574405461629,4.000034430018348e-05,0.1422107971191319
0.52,0.00457999025857436,0.5,0.6973777917480664,0.48655517437860374,0.23716056902734287,0.3882339648437589
0.52,0.005244077692159,0.5,0.6432721118163711,0.4141682056433152,0.1721399808343952,0.3269320141601002
0.5,0.06,0.5,0.04539289916991994,0.0022764887626470173,8.048011150813733e-06,0.13486400268556487
0.52,0.010320290733482368,0.5,0.08592641479491907,0.008472395902126882,0.0001245812227936673,0.14665768432614743
0.52,0.0068750877103499145,0.5,0.1952594604492155,0.04698142043709506,0.00442422727647648,0.16115679199215607
0.52,0.007871958685061724,0.5,0.11693844848632623,0.016447397652416935,0.0005507085401205503,0.1515810290527015
0.52,0.009013373523370628,0.5,0.09611487792968315,0.01080428494930207,0.00022375804909032594,0.14843638916012647
0.52,0.01181670775625111,0.5,0.07645417846679492,0.006728828948587501,8.22756900214023e-05,0.14491379272458949
0.52,0.0060044561863238305,0.5,0.555718168945311,0.310557807197592,0.09834972508615636,0.2501295874023844
0.52,0.01353010160301253,0.5,0.07045018676757772,0.00566589543297901,5.6065071095777546e-05,0.1433922119140507
0.52,0.020310225567949636,0.5,0.05828752319335904,0.003801851297467767,2.35870137130492e-05,0.14012691284180195
0.52,0.026627100205900502,0.5,0.05321536132812459,0.0031513569575547067,1.5855326024532034e-05,0.13827180053712185
0.52,0.017738225997250678,0.5,0.06158326538086116,0.004272520364075837,3.0551566889241034e-05,0.14105660522460842
0.52,0.023255158812664285,0.5,0.055578923339842726,0.003456868304014022,1.9498795348643074e-05,0.1391821215820372
0.52,0.03997031413879595,0.5,0.048322678222654604,0.002592219580113908,1.0667432393459113e-05,0.135909672851579
0.52,0.03490864554916128,0.5,0.048926481933591524,0.0026500792747735404,1.0985292884364824e-05,0.1365751611328277
0.52,0.05240185818096181,0.5,0.044697674560544756,0.0022008660544456248,7.455312739076862e-06,0.1343859155273611
0.52,0.030487964889276898,0.5,0.051073266601561404,0.0028960877281426576,1.3249515088969698e-05,0.13735263427735706
0.54,0.00457999025857436,0.5,0.6521640161132558,0.42561680768014143,0.18165624168515676,0.3326821447753437
0.54,0.007871958685061724,0.5,0.09582811523437282,0.010640111492871713,0.0002034098089204339,0.14680071289059335
0.54,0.004000000000000001,0.5,0.7018634521484491,0.492807377782164,0.24324244394574523,0.3919378112793153
0.54,0.005244077692159,0.5,0.5720376257323857,0.3282449171664081,0.1089936867730389,0.2570917895508176
0.52,0.04576591234696057,0.5,0.04570853271484162,0.0023018862375617658,8.122174121789256e-06,0.13500536743165653
0.52,0.06,0.5,0.04403743652343482,0.0021355531847478174,6.987246822330834e-06,0.13373502197267464
0.54,0.009013373523370628,0.5,0.0845644677734355,0.008249601946771282,0.00012157254581408262,0.1451155224609174
0.54,0.01181670775625111,0.5,0.07066727050781221,0.005735478131473171,5.874957610797838e-05,0.1422737756347579
0.54,0.01353010160301253,0.5,0.06563934936523506,0.0048973064084351006,4.15534220285709e-05,0.1412344702148424
0.54,0.0068750877103499145,0.5,0.11216092163085559,0.014888391411154896,0.00042104901597529953,0.14947324951168853
0.54,0.015491933384829673,0.5,0.06215820068359454,0.00437100690454239,3.2329604602756954e-05,0.1401327770996125
0.54,0.0060044561863238305,0.5,0.170992193603514,0.03711284821912665,0.0029701819298879307,0.15648478515622039
0.54,0.010320290733482368,0.5,0.07885257446288747,0.00719772148773102,9.3996275348004e-05,0.14381422729490712
0.54,0.017738225997250678,0.5,0.05858112792968736,0.0038474107292293374,2.4194431208440065e-05,0.1392393432617249
0.54,0.026627100205900502,0.5,0.05122058593749894,0.0029194294446706396,1.3609161243422322e-05,0.13671263305665562
0.54,0.020310225567949636,0.5,0.05698100463867183,0.0036647704257069856,2.2746166485409635e-05,0.13842914062501072
0.54,0.030487964889276898,0.5,0.049868237304685696,0.0027651915740966463,1.2153917150054235e-05,0.136070174560562
0.54,0.023255158812664285,0.5,0.05305276611328096,0.00313241295665495,1.5614488188140934e-05,0.13752700805665297
0.54,0.03997031413879595,0.5,0.04590519409179462,0.002326227062493639,8.37753620027542e-06,0.1345598168945468
0.54,0.03490864554916128,0.5,0.048233364257811474,0.0025886392009258157,1.0713503937258878e-05,0.13530142333986075
0.54,0.04576591234696057,0.5,0.04483148559570086,0.0022158359529079043,7.542597310952936e-06,0.13397660888673463
0.56,0.004000000000000001,0.5,0.6635589184570115,0.44055233647645686,0.1945101912866256,0.3407324499511291
0.54,0.05240185818096181,0.5,0.043579078369138574,0.002088825006932204,6.636673436764936e-06,0.1333167822265803
0.56,0.00457999025857436,0.5,0.589015971679632,0.3476773729884855,0.12187135936458092,0.26468639526369997
0.54,0.06,0.5,0.04317462768554541,0.002051797419041562,6.412694705980457e-06,0.13284253051759298
0.56,0.007871958685061724,0.5,0.08367599243163779,0.008093470147699186,0.00011719577522696273,0.14367120971678016
0.56,0.005244077692159,0.5,0.22491751220702838,0.06012618638604769,0.006145236524217115,0.1595048486327847
0.56,0.0060044561863238305,0.5,0.11731586059570398,0.01628954464390857,0.0004974934164216586,0.14803969360348584
0.56,0.0068750877103499145,0.5,0.09179407836913703,0.009898442205041397,0.00018823462824945215,0.14520310668943212
0.56,0.010320290733482368,0.5,0.06752878417968723,0.00517028250664478,4.5357361266338364e-05,0.1408667089843759
0.56,0.009013373523370628,0.5,0.07378288696288851,0.006260189250260813,7.051379320763814e-05,0.14207008911132055
0.56,0.01181670775625111,0.5,0.06362736816406367,0.004582928596734869,3.590602325067506e-05,0.13995022094727003
0.56,0.01353010160301253,0.5,0.06032625488281249,0.0040984651359914515,2.79161236792003e-05,0.1389565515136802
0.56,0.017738225997250678,0.5,0.05505026611328018,0.003385199021994944,1.8482360141235177e-05,0.13744114257813886
0.56,0.06,0.5,0.04177158569335718,0.0019174587164821387,5.584310446110386e-06,0.13187374023439427
0.56,0.015491933384829673,0.5,0.05693693725585899,0.003623176089078097,2.1244910043433255e-05,0.1381626379394651
0.56,0.030487964889276898,0.5,0.04704374023437267,0.0024433237516880203,9.18687420455369e-06,0.134632410888689
0.56,0.020310225567949636,0.5,0.05254737670898347,0.003076132362931868,1.5116346511952877e-05,0.136680644531267
0.56,0.03490864554916128,0.5,0.0463009680175764,0.0023700280569494583,8.754828735433527e-06,0.13415206298829963
0.56,0.023255158812664285,0.5,0.05117341308593564,0.0029174086335300446,1.3736433836338062e-05,0.1360716552734522
0.56,0.026627100205900502,0.5,0.04880170043945189,0.002644670120626704,1.103283479572875e-05,0.13528289306642377
0.56,0.05240185818096181,0.5,0.04264898681640413,0.00200365299820918,6.192276428603672e-06,0.132337724609393
